CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL,AVAILABLE,VIDEO_COUNT
UCQhaXBJ30DLyGDOkFNwMVlQ,Vladimir Jaffe,16689321,US,1.0,79300.0,3899.830715,3899.830715,16632778,2611.381667062,791.334846943,1503.07807309,1503.07807309,10.969203,2010-11-11T18:02:42.0000000Z,2022-07-16T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXFQoJu2lSvT7avrZiguEfgPmRJejjBt4VD_CWsBA=s88-c-k-c0x00ffffff-no-rj,YES,575
UCTLp7zZjQztDWdcgFEXctRA,Kyus,0,,1.0,14000.0,2.32636,2.32636,2224,0.9688001827,4.435803015,1.84717608,1.84717608,31.0,2020-07-06T00:00:00.0000000Z,2020-07-06T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/ytc/AL5GRJU61EnWO-QWFtL_xqt4yZQPV3u-7ysRCQ245g=s88-c-k-c0x00ffffff-no-rj,YES,0
UCi62JvN-lUn7hVL3ffofADA,Jeff P,5601440,US,1.0,47800.0,2464.415824,2464.415824,5606546,362.926072652,55.232811316,383.889534884,383.889534884,14.582329,2016-06-30T00:00:00.0000000Z,2022-09-22T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXRlCLChZYWpuNlnBGFnAZ5E1urJoN_KlFCQ-JVcg=s88-c-k-c0x00ffffff-no-rj,YES,238
UCu9zhQZHPYzWhmWs9eFXX_g,Greenwave2010fb,9221512,,0.8,23500.0,2121.892755,2121.892755,8903462,182.921057316,69.497999809,992.736710963,794.189368771,5.140845,2010-08-29T00:00:00.0000000Z,2022-02-23T00:00:00.0000000Z,R,"[
  ""PartisanRight"",
  ""ReligiousConservative""
]",Religious Conservative,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUl6AzRbsdTmtSgqCQOYm32LNegEWm0y6aU9w=s88-c-k-c0x00ffffff-no-rj,YES,527
UCUF4AIX_0bcejVskjqk4qMw,Bob Larson... The REAL Exorcist!,28919790,US,0.95,144000.0,5964.854839,5964.854839,28476217,4490.118357472,2874.592531081,4814.559800664,4573.831810631,18.962398,2009-09-23T00:00:00.0000000Z,2022-10-19T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUSSlUSZgp9vupvUcBja_qqoV3ihODDfBaTjxAsSg=s88-c-k-c0x00ffffff-no-rj,YES,851
UCCrpFEWlth2SCQU6HVY4EHQ,Mike Gallagher Show,719592,US,1.0,18700.0,486.124584,486.124584,729673,1632.780016321,265.389342804,604.450996678,604.450996678,6.044715,2018-06-25T00:00:00.0000000Z,2022-08-04T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUE7vTfimP69EDIccgzDGOiVL8-DDvkk2lFS7GN=s88-c-k-c0x00ffffff-no-rj,YES,964
UCs1oxu3K1DcEWJGSuU4qh1g,Palladium,13636916,,1.0,16500.0,6848.269618,6848.269618,13614360,435.967217266,49.849898792,447.186877076,447.186877076,43.170213,2015-06-13T00:00:00.0000000Z,2020-11-21T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWJCsi18zoAyMUip5O-L3uz3zP7ujOw8jBKXCd95Q=s88-c-k-c0x00ffffff-no-rj,YES,52
UCXAOdawfVE6T7YM_OhkQbJQ,Coffee with Jesus with Vincent Rhodes,13992177,US,1.0,65600.0,2527.48491,2527.48491,13650946,4188.435839037,1010.958241934,3175.980066445,3175.980066445,17.612217,2007-12-31T00:00:00.0000000Z,2022-10-14T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/2lyL8waMtXdCbPd7xtFZzrr2ttStQC7I6AkI3Elg5VlFeAHDpxUvJXXz_wJDdjtD5jdhPN16=s88-c-k-c0x00ffffff-no-rj,YES,1621
UCmgGplXS8rHnP6COyjEdRCQ,WWW.UNIONMAG.CO.UK,5331522,GB,0.9,19400.0,2216.073057,2216.073057,5247661,12.61762428,30.041022723,289.511627907,260.560465116,21.191489,2013-12-05T00:00:00.0000000Z,2020-05-30T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXhBKe_8lEGApqK-Vc5caV0HyJQWqB8hgS9FICf=s88-c-k-c0x00ffffff-no-rj,YES,50
UCMhruZ35281kDEuANjXYcpA,IntrovertedSmiles,335887,US,0.95,22500.0,287.71489,287.71489,340079,103.660003964,18.281093523,172.506644518,163.881312292,23.441558,2017-07-21T14:57:40.0000000Z,2020-10-15T20:59:32.0000000Z,C,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/a/AATXAJwH5t9qZtkl4XsJzqvHJeBQJFNQdQk3sSElGiq1lA=s88-c-k-c0xffffffff-no-rj-mo,NO,
UCmKcSTao6NHzmWFlS4SCAog,AWResistance,3030870,GB,1.0,11500.0,2368.141844,2368.141844,3005172,2.451850216,2.065078497,200.309800664,200.309800664,20.20438,2010-12-29T00:00:00.0000000Z,2014-06-20T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJX0IIuYAGrCts8Laha64BBoEMSqdrHH-_stYbOL=s88-c-k-c0x00ffffff-no-rj,YES,392
UChSEn4mpf2H8zRxqweupJWA,Bear049,1489663,US,1.0,11800.0,365.992308,365.992308,1474949,278.158243638,44.204340213,122.110465116,122.110465116,19.891667,2011-10-01T00:00:00.0000000Z,2022-10-13T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVVYyhqEdM39lDxItteHO_RkuQuIQRTyOhyj97h=s88-c-k-c0x00ffffff-no-rj,YES,526
UCkUGywMJVJ9wSN-8OHzLL-w,RockNewmanShow,15586268,,0.95,185000.0,4387.644007,4387.644007,14716158,233.584718368,7603.725235562,2111.622093023,2006.040988372,53.37883,2013-06-23T00:00:00.0000000Z,2022-08-29T00:00:00.0000000Z,C,"[
  ""Black"",
  ""SocialJustice""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUAUTuEmw2vK-o2NklEg-hD4XH3OFQEvKsfmFDH=s88-c-k-c0x00ffffff-no-rj,YES,424
UCBZ_FipjV1hrExi9uDWesGA,HighTale,0,NL,1.0,194000.0,239.537295,239.537295,189474,457.054981719,3.088829574,157.367109635,157.367109635,14.382353,2020-07-09T22:27:33.0000000Z,2022-09-08T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/ALGOGFgmG1GPrjkI8A1tYkefkUc9jElrfTzOw8cmWfs8DVy3A6IP_5jO_Z1qgXSjP0bUWfT_5Q=s88-c-k-c0x00ffffff-no-rj,YES,21
UCV5uJg_7m89dZ-0rqhHT1Ww,Mixed Mental Arts,512922,US,0.9,11300.0,390.721139,390.721139,521222,12.50554053,46.887335586,35.357973422,31.82217608,43.762943,2017-03-28T10:39:18.0000000Z,2020-11-21T00:00:00.0000000Z,C,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXOCAkWbWroiyreCNWAS5CaHSdox6f75C-97SKeiw=s88-c-k-c0x00ffffff-no-rj,YES,337
UCOCMSlIYvJn5xMpSZ5H5xjA,Michael & Cindy Howard,1865886,US,0.9,11900.0,642.809786,642.809786,1865434,11.005344516,4.490513581,46.456810631,41.811129568,21.683544,2014-07-30T00:00:00.0000000Z,2022-07-10T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJViLB3Q0aSEJ6NmpQihW6DwCYNcOxSt9cdG7SVH4Q=s88-c-k-c0x00ffffff-no-rj,YES,123
UCTXFxw6isdxDKA1Xpj1ZKTQ,Isla,2534976,,0.85,34700.0,2104.073246,2104.073246,5457966,841.686023425,618.522355423,941.068936877,799.908596346,9.568421,2015-06-02T00:00:00.0000000Z,2022-07-09T00:00:00.0000000Z,C,"[
  ""LGBT""
]",LGBT,YouTube,https://yt3.ggpht.com/eAWEhmbar1qq-EYk9Tf9w97iagQ9G6xIR2OZColIorDk-ncptjNcNC2o2WTI4HgS4XPHcVtibg=s88-c-k-c0x00ffffff-no-rj,YES,1
UCyk94lY4SR7ecVwXdAfZ5Mg,BrotherJohnF,5196792,US,0.8,14500.0,1294.956869,1294.956869,5194072,11.716633249,3.642773734,68.033222591,54.426578073,18.718408,2010-12-17T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,R,"[
  ""Libertarian""
]",Libertarian,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUL7bA6C14nRu1nmkB35fV9MNTuZerEVfwmKPCC=s88-c-k-c0x00ffffff-no-rj,YES,1000
UCMqcMeW6zs76Pc9kU_qGWaA,HyperReport,920237,,0.95,14500.0,374.622964,374.622964,920074,1.630152634,0.5074540432,0.9534883721,0.9058139535,1.964,2010-06-26T00:00:00.0000000Z,2017-03-17T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVwHt4-kdBOcDUXA7aYlXepyjz8WZwK21lI2wR8=s88-c-k-c0x00ffffff-no-rj,YES,241
UCWeZblpq1zeVigPZUOBwMcw,dangerousanalysis,730051,,1.0,10600.0,479.929559,479.929559,729013,1.867983962,2.374399311,11.07807309,11.07807309,13.169811,2013-03-14T00:00:00.0000000Z,2017-05-11T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVUG0gKpfKNAkIOnwTLuhQ2zLOCRn_hwGJQpUpY=s88-c-k-c0x00ffffff-no-rj,YES,53
UCfraCzrr8xTTdbpiXfv75qA,The Drop Report,546617,,0.9,14900.0,1335.322845,1335.322845,2121828,2062.773881079,419.095087078,1756.100498339,1580.490448505,13.910959,2018-06-12T00:00:00.0000000Z,2022-10-18T00:00:00.0000000Z,C,"[
  ""Black"",
  ""SocialJustice""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJX5JX0fEyBmP9Tz0lFwYUcHB8ak53i1Theggx_HYA=s88-c-k-c0x00ffffff-no-rj,YES,268
