CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCQhaXBJ30DLyGDOkFNwMVlQ,Vladimir Jaffe,16689321,US,1,79300,3899.830715,3899.830715,16632778,2611.381667062,791.334846943,1503.07807309,1503.07807309,10.969203,2010-11-11T18:02:42.0000000Z,2022-07-16T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXFQoJu2lSvT7avrZiguEfgPmRJejjBt4VD_CWsBA=s88-c-k-c0x00ffffff-no-rj
UCpa-Zb0ZcQjTCPP1Dx_1M8Q,LegalEagle,549509910,US,0.8,2740000,236865.153809,236865.153809,494337576,813707.221775547,913452.12486343,342079.053156146,273663.242524917,11.420168,2017-02-01T00:00:00.0000000Z,2022-10-20T00:00:00.0000000Z,C,"[
  ""Educational""
]",Unclassified,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUuLO-9HZWf-hKCLZjkqy1ZIHwzC917RNTdW39-=s88-c-k-c0x00ffffff-no-rj
UCTLp7zZjQztDWdcgFEXctRA,Kyus,0,,1,14000,2.326360,2.326360,2224,0.9688001827,4.435803015,1.84717608,1.84717608,31.000000,2020-07-06T00:00:00.0000000Z,2020-07-06T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/ytc/AL5GRJU61EnWO-QWFtL_xqt4yZQPV3u-7ysRCQ245g=s88-c-k-c0x00ffffff-no-rj
UCi62JvN-lUn7hVL3ffofADA,Jeff P,5601440,US,1,47800,2464.415824,2464.415824,5606546,362.926072652,55.232811316,383.889534884,383.889534884,14.582329,2016-06-30T00:00:00.0000000Z,2022-09-22T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXRlCLChZYWpuNlnBGFnAZ5E1urJoN_KlFCQ-JVcg=s88-c-k-c0x00ffffff-no-rj
UCu9zhQZHPYzWhmWs9eFXX_g,Greenwave2010fb,9221512,,0.8,23500,2121.892755,2121.892755,8903462,182.921057316,69.497999809,992.736710963,794.189368771,5.140845,2010-08-29T00:00:00.0000000Z,2022-02-23T00:00:00.0000000Z,R,"[
  ""PartisanRight"",
  ""ReligiousConservative""
]",Religious Conservative,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUl6AzRbsdTmtSgqCQOYm32LNegEWm0y6aU9w=s88-c-k-c0x00ffffff-no-rj
UCUF4AIX_0bcejVskjqk4qMw,Bob Larson... The REAL Exorcist!,28919790,US,0.95,144000,5964.854839,5964.854839,28476217,4490.118357472,2874.592531081,4814.559800664,4573.831810631,18.962398,2009-09-23T00:00:00.0000000Z,2022-10-19T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUSSlUSZgp9vupvUcBja_qqoV3ihODDfBaTjxAsSg=s88-c-k-c0x00ffffff-no-rj
UCCrpFEWlth2SCQU6HVY4EHQ,Mike Gallagher Show,719592,US,1,18700,486.124584,486.124584,729673,1632.780016321,265.389342804,604.450996678,604.450996678,6.044715,2018-06-25T00:00:00.0000000Z,2022-08-04T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUE7vTfimP69EDIccgzDGOiVL8-DDvkk2lFS7GN=s88-c-k-c0x00ffffff-no-rj
UCs1oxu3K1DcEWJGSuU4qh1g,Palladium,13636916,,1,16500,6848.269618,6848.269618,13614360,435.967217266,49.849898792,447.186877076,447.186877076,43.170213,2015-06-13T00:00:00.0000000Z,2020-11-21T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWJCsi18zoAyMUip5O-L3uz3zP7ujOw8jBKXCd95Q=s88-c-k-c0x00ffffff-no-rj
UCmwLRzTDftdlqiPJyIJlP0w,CFW Carolina in Fort Worth,9283235,US,1,52300,7072.276474,7072.276474,11152980,20935.322365773,7817.589414347,8259.295681063,8259.295681063,19.464848,2018-06-26T00:00:00.0000000Z,2022-10-20T00:00:00.0000000Z,C,[],Unclassified,YouTube,https://yt3.ggpht.com/NhqifBqXtrviR-4BixiB3CnynhSr8ELFPT4w_y8SF6CY_LzR1P4YVZmYINVWvdBBXJC6AOMd4A=s88-c-k-c0x00ffffff-no-rj
UCXAOdawfVE6T7YM_OhkQbJQ,Coffee with Jesus with Vincent Rhodes,13992177,US,1,65600,2527.484910,2527.484910,13650946,4188.435839037,1010.958241934,3175.980066445,3175.980066445,17.612217,2007-12-31T00:00:00.0000000Z,2022-10-14T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/2lyL8waMtXdCbPd7xtFZzrr2ttStQC7I6AkI3Elg5VlFeAHDpxUvJXXz_wJDdjtD5jdhPN16=s88-c-k-c0x00ffffff-no-rj
